DISPCNT write val=0x1040 at scanline=103 cyc=99564185 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=99571577 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=99574041 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=99583897 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=99593750 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=99596223 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=99604838 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=99607311 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=99614694 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=99615938 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=99624550 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=99627026 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=7 cyc=99726799 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=99729265 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=99736655 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=99740353 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=99746511 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=99751445 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=99756377 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=99762533 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=99766233 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=99773621 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=99776089 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=99785941 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=99795794 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=99797039 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=99805650 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=99808127 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=99815506 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=99819215 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=99825362 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=99830297 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=99835225 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=99841385 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=99845081 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=99852473 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=99854937 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=99864793 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=99874646 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=99877119 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=99885734 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=99888207 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=99895590 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=99896834 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=99905446 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=99907922 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=7 cyc=100007695 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=100010161 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=100017551 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=100021249 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=100027407 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=100032341 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=100037273 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=100043429 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=100047129 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=100054517 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=100056985 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=100066837 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=100076690 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=100077935 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=100086546 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=100089023 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=100096402 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=100100111 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=100106258 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=100111193 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=100116121 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=100122281 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=100125977 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=100133369 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=100135833 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=100145689 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=100155542 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=100158015 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=100166630 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=100169103 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=100176486 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=100177730 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=100186342 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=100188818 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=7 cyc=100288591 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=100291057 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=100298447 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=100302145 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=100308303 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=100313237 PC=0x800af1c
